seccion,producto,cantidad,n_transacciones,total,precio_promedio
Pastelería japonesa,Cotton Cheesecake xl,8.0,8,47200,5900.0
Panadería x mayor,Pan molde blanco grande x mayor,18.0,14,42840,2380.0
Panadería artesanal,Pan artesanal,35.0,28,42500,1214.2857142857142
Pastelería de autor,Neko red velvet,14.0,11,42000,3000.0
Pastelería x mayor,Carrot Cake x 20,1.0,1,42000,42000.0
Pastelería japonesa,Mochis,20.0,20,41800,2090.0
Ofertas,Croquembouche,4.0,3,40000,10000.0
Pastelería x mayor,Galleton relleno ( sabores) 170 gr.,25.0,2,37500,1500.0
Pastelería x mayor,Galleton Mantequilla de mani,25.0,2,37500,1500.0
,Reparto PedidosYa,11.0,11,36725,3338.6363636363635
Otros bebestibles,Café OKF,16.0,16,36100,2256.25
Ofertas,Oferta frappuccino,11.0,5,35200,3200.0
Ofertas,Oferta Latte,13.0,9,33280,2560.0
Frappé,STRAWBERRRY spice Frappuccino,8.0,8,32000,4000.0
Panadería de autor,Pan de osito,9.0,6,31500,3500.0
Panadería artesanal,Marraqueta (envasada),21.0,13,30450,1450.0
Ofertas,Oferta baguette,19.0,16,30400,1600.0
Pastelería de autor,Melonpan helado,11.0,11,28500,2590.909090909091
Ofertas,Oferta berlin,10.0,7,28000,2800.0
Pastelería tradicional,Torta de chocolate naranja,10.0,10,28000,2800.0
Panadería Japonesa,Sausage pan XL,6.0,6,25000,4166.666666666667
Pastelería tradicional,Torta Chocolate blanco frambuesa,1.0,1,22400,22400.0
Otros bebestibles,Jugos,16.0,15,22300,1393.75
Pastelería tradicional,3 leches,7.0,7,21000,3000.0
Panadería artesanal,Batard multigranos,13.0,10,20800,1600.0
Ofertas,Oferta cappuccino + melonpan,5.0,5,20000,4000.0
Ofertas,Oferta donas de osito,6.0,6,18000,3000.0
Otros métodos de preparación,V60,6.0,6,18000,3000.0
Pastelería tradicional,Roll cake,4.0,4,17500,4375.0
Ofertas,Oferta Pan molde frio,9.0,9,17200,1911.111111111111
Pastelería tradicional,Chocolate manjar,6.0,4,16800,2800.0
Sandwich,TOKYO BOX (Con descuento),1.0,1,16200,16200.0
Ofertas,Oferta Sausage pan,4.0,3,16000,4000.0
Pastelería tradicional,Bruselina de canela y chocolate stevia,5.0,5,16000,3200.0
Pastelería x mayor,Panqueque naranja chocolate x8,1.0,1,15790,15790.0
Preparaciones frías con café,Espresso tonic,4.0,4,15200,3800.0
Pastelería x mayor,Streusel de frambuesa individual,6.0,2,15000,2500.0
Panadería de autor,Berlínes de osito,8.0,8,14400,1800.0
Pastelería tradicional,Selva negra,5.0,5,14000,2800.0
Panadería x mayor,Pan molde blanco x mayor,8.0,5,12800,1600.0
Ofertas,Oferta ensalada del día,3.0,2,12000,4000.0
Ofertas,Oferta ensalada del día + bebida o agua mineral,2.0,1,10000,5000.0
Sandwich,TOKYO BOX (Con descuento) waku waku set,1.0,1,9000,9000.0
Pastelería tradicional,Torta naranja chocolate,3.0,3,8600,2866.6666666666665
Panadería de autor,Pan navideño (oferta),1.0,1,8000,8000.0
Ofertas,Oferta curry de pollo,1.0,1,8000,8000.0
Ofertas,Oferta marraquetas,5.0,5,7500,1500.0
Ofertas,Korone pan (Oferta por Unidad),4.0,4,6000,1500.0
Galletas,Galletas de mantequilla,4.0,4,6000,1500.0
Preparaciones frías con café,Cold brew,2.0,2,6000,3000.0
Ofertas,Oferta Chocolate caliente,2.0,2,5800,2900.0
Ofertas,Oferta bolsita de dulces,1.0,1,5000,5000.0
Panadería Japonesa,Yakisoba pan + bebida  oferta,1.0,1,4500,4500.0
,Reparto,2.0,2,4000,2000.0
Ofertas,Oferta cappuccino + pan dulce relleno,1.0,1,4000,4000.0
Pastelería de autor,Tartaletas,1.0,1,3500,3500.0
Ofertas,Oferta Cappuccino,1.0,1,3000,3000.0
OTROS,Leche sola,6.0,6,3000,500.0
Ofertas,Oferta Mocaccino,1.0,1,2900,2900.0
Café,LATTE ART 3D,3.0,3,2100,700.0
OTROS,Set Stickers,2.0,2,2000,1000.0
Pastelería japonesa,Castella DESCUENTO,2.0,2,2000,1000.0
Panadería de autor,Pan dulce del día (diseño varía),1.0,1,1200,1200.0
Arcade,Monedas arcade,7.0,2,700,100.0
