seccion,producto,cantidad,n_transacciones,total,precio_promedio,menu_mix_pct,margen_contrib,clasificacion
Sandwich,TOKYO BOX,48.0,44,641900,13372.916666666666,0.189,13372.916666666666,Interrogante
Pastelería de autor,Neko tiramisú,223.0,176,626600,2809.865470852018,0.877,2809.865470852018,Caballo de Trabajo
Ofertas,Tokyo box,82.0,79,615000,7500.0,0.323,7500.0,Interrogante
Café,Mocaccino,186.0,166,595200,3200.0,0.732,3200.0,Caballo de Trabajo
Pastelería tradicional,Bruselina de canela y chocolate,183.0,165,515200,2815.3005464480875,0.72,2815.3005464480875,Caballo de Trabajo
Panadería artesanal,Marraqueta,232.257,288,510877,2199.6193871444134,0.914,2199.6193871444134,Caballo de Trabajo
Panadería de autor,Pan viennoise,235.0,233,467200,1988.0851063829787,0.924,1988.0851063829787,Caballo de Trabajo
Pastelería x mayor,Tiramisú sin azúcar x 12,16.0,12,408130,25508.125,0.063,25508.125,Interrogante
Pastelería de autor,Galletas,195.0,176,404000,2071.7948717948716,0.767,2071.7948717948716,Caballo de Trabajo
Panadería Japonesa,Choco chips Melonpan,278.0,234,396100,1424.820143884892,1.094,1424.820143884892,Caballo de Trabajo
Panadería x mayor,Pan molde integral x mayor,225.0,40,360000,1600.0,0.885,1600.0,Caballo de Trabajo
Otros bebestibles,Bebidas,231.0,221,342300,1481.8181818181818,0.909,1481.8181818181818,Caballo de Trabajo
Galletas,Galletas con diseño,314.0,194,314000,1000.0,1.235,1000.0,Caballo de Trabajo
Pastelería x mayor,Matcha roll cake x mayor,23.0,8,294000,12782.608695652174,0.09,12782.608695652174,Interrogante
Panadería Japonesa,Melonpan de canela,186.0,171,264700,1423.1182795698924,0.732,1423.1182795698924,Caballo de Trabajo
Café,Flat White,84.0,76,260400,3100.0,0.33,3100.0,Perro
Panadería x mayor,Ciabattas x mayor,296.0,36,251600,850.0,1.164,850.0,Caballo de Trabajo
Frappé,Pumpkin spice Frappuccino,60.0,48,240000,4000.0,0.236,4000.0,Perro
Pastelería tradicional,Eclairs,80.0,76,229500,2868.75,0.315,2868.75,Perro
Panadería de autor,Empanadas de horno,88.0,23,228800,2600.0,0.346,2600.0,Perro
Panadería de autor,Berlín de osito,98.0,98,222400,2269.387755102041,0.386,2269.387755102041,Perro
Ofertas,Frappuccino oferta,37.0,35,222000,6000.0,0.146,6000.0,Interrogante
Panadería de autor,Pajaritos,184.0,97,220800,1200.0,0.724,1200.0,Caballo de Trabajo
Panadería de autor,Donas de osito,97.0,95,205600,2119.5876288659792,0.382,2119.5876288659792,Perro
Panadería de autor,Pan navideño,42.0,31,204000,4857.142857142857,0.165,4857.142857142857,Interrogante
Otros bebestibles,Agua mineral,126.0,124,200200,1588.888888888889,0.496,1588.888888888889,Caballo de Trabajo
Panadería x mayor,Pan molde multigranos x mayor,85.0,32,196900,2316.470588235294,0.334,2316.470588235294,Perro
Panadería de autor,Cinnamon roll,77.0,71,192500,2500.0,0.303,2500.0,Perro
Panadería de autor,Brioche Bretón,64.0,61,192000,3000.0,0.252,3000.0,Perro
Panadería x mayor,Batards x mayor,211.0,29,179350,850.0,0.83,850.0,Caballo de Trabajo
Té - Infusiones,Hojicha latte,39.0,38,140300,3597.4358974358975,0.153,3597.4358974358975,Perro
Panadería Japonesa,Anpan,73.0,59,136800,1873.972602739726,0.287,1873.972602739726,Perro
Ofertas,Oferta ciabatta,51.0,48,134300,2633.3333333333335,0.201,2633.3333333333335,Perro
Sandwich,TOKYO BOX waku waku set,10.0,10,131000,13100.0,0.039,13100.0,Interrogante
Otros bebestibles,Bebida pokémon,33.0,33,121800,3690.909090909091,0.13,3690.909090909091,Perro
